epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.53424,1.79873,0,0.6,2.00456,1e-05,1e-05,1e-05
2,5.81767,1.73668,0,0.6,2.00931,2.8515e-05,2.8515e-05,2.8515e-05
3,8.24526,1.73865,0,0.6,2.0005,4.505e-05,4.505e-05,4.505e-05
4,10.7403,1.66018,0,0.6,2.01197,5.9605e-05,5.9605e-05,5.9605e-05
5,12.3528,1.70184,0,0.6,2.02497,7.218e-05,7.218e-05,7.218e-05
6,14.2947,1.58872,0,0.6,2.03164,8.2775e-05,8.2775e-05,8.2775e-05
7,16.4569,1.56083,0,0.6,2.043,9.139e-05,9.139e-05,9.139e-05
8,18.0628,1.44595,0,0.6,2.04936,9.8025e-05,9.8025e-05,9.8025e-05
9,20.2545,1.46243,0,0.8,2.05686,0.00010268,0.00010268,0.00010268
10,22.2034,1.32184,0,0.8,2.05216,0.000105355,0.000105355,0.000105355
11,24.0005,1.36147,0,0.8,2.05568,0.00010605,0.00010605,0.00010605
12,26.0896,1.43278,0,0.8,2.0553,0.000104765,0.000104765,0.000104765
13,27.9917,1.28867,0,0.8,2.05943,0.0001015,0.0001015,0.0001015
14,29.6337,1.1512,0,0.8,2.05588,9.6255e-05,9.6255e-05,9.6255e-05
15,31.6888,1.31148,0,0.8,2.06743,8.903e-05,8.903e-05,8.903e-05
16,33.4641,1.26662,0,0.8,2.06508,7.9825e-05,7.9825e-05,7.9825e-05
17,34.9695,1.12517,0,0.8,2.07438,6.864e-05,6.864e-05,6.864e-05
18,36.7868,1.16357,0,0.8,2.08365,5.5475e-05,5.5475e-05,5.5475e-05
19,38.452,1.19273,0,0.8,2.08142,4.033e-05,4.033e-05,4.033e-05
20,39.6388,1.10715,0,0.8,2.07732,2.3205e-05,2.3205e-05,2.3205e-05
