epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.34004,1.72078,0,0.6,1.9957,0,0,0
2,8.70838,1.77364,0,0.6,1.98351,9.505e-06,9.505e-06,9.505e-06
3,11.9113,1.73346,0,0.6,1.96992,1.802e-05,1.802e-05,1.802e-05
4,16.2278,1.70593,0,0.6,1.96707,2.5545e-05,2.5545e-05,2.5545e-05
5,18.0365,1.71595,0,0.6,1.96608,3.208e-05,3.208e-05,3.208e-05
6,20.2549,1.65435,0,0.6,1.96317,3.7625e-05,3.7625e-05,3.7625e-05
7,22.9306,1.63711,0,0.6,1.96732,4.218e-05,4.218e-05,4.218e-05
8,24.7284,1.63957,0,0.6,1.97238,4.5745e-05,4.5745e-05,4.5745e-05
9,26.2516,1.59689,0,0.6,1.9754,4.832e-05,4.832e-05,4.832e-05
10,27.8088,1.57284,0,0.6,1.97827,4.9905e-05,4.9905e-05,4.9905e-05
11,29.2756,1.43839,0,0.6,1.97945,5.05e-05,5.05e-05,5.05e-05
12,31.0479,1.43682,0,0.6,1.98324,5.0105e-05,5.0105e-05,5.0105e-05
13,33.9176,1.45584,0,0.6,1.98566,4.872e-05,4.872e-05,4.872e-05
14,35.5995,1.38276,0,0.8,1.98463,4.6345e-05,4.6345e-05,4.6345e-05
15,37.516,1.3904,0,0.8,1.98685,4.298e-05,4.298e-05,4.298e-05
16,39.6358,1.27231,0,0.8,1.99383,3.8625e-05,3.8625e-05,3.8625e-05
17,41.2273,1.2759,0,0.8,1.99718,3.328e-05,3.328e-05,3.328e-05
18,43.509,1.29587,0,0.8,1.99718,2.6945e-05,2.6945e-05,2.6945e-05
19,45.3442,1.41104,0,0.8,1.9932,1.962e-05,1.962e-05,1.962e-05
20,46.6745,1.27788,0,0.8,1.9932,1.1305e-05,1.1305e-05,1.1305e-05
